Reference Handle,Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Seven Bends,New Quantity Seven Bends,Stock Alert Enabled Seven Bends,Stock Alert Count Seven Bends,Tax - Sales Tax (6%)
#asclepias-incarnata-rose-milkweed--true-gallon,44LXKSHD7BXM6RCQ6YZF25KB,Asclepias incarnata (Rose Milkweed),,True Gallon,,Ascinc12,,Flower,Flower,,,,,visible,Physical good,,,,,,,,21.00,,N,,,,,,,0,,,,Y
#asclepias-purpurascens-purple-milkweed--4-5-pot,VRNLMV34B4TBLTAA4WDUVHLH,Asclepias purpurascens (Purple Milkweed),,"4.5"" Pot",,Ascpur3,"Tall milkweed that blooms deep purple and rose pink flowers.  Spreads vigorously through seeds and rhizomes.  Best for naturalized areas.  Drought and deer resistant.  Attracts bees and butterflies.

Size: Height: 2' - 3' ; Width: 1' - 3'
Light: Sun (Part-Full)
Moisture: Medium, 

-

Photo by and (c)2009 Derek Ramsey (Ram-Man), GFDL 1.2 , via Wikimedia Commons",Flower,Flower,,,,,hidden,Physical good,,,,N,N,N,Y,15.00,,N,,N,,N,,,0,,,,Y
#asclepias-purpurascens-purple-milkweed--gallon,SXDTWIQPZEZV5O257QDSAOK5,Asclepias purpurascens (Purple Milkweed),,Gallon,,Ascpur9,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,21.00,,N,,,,N,,,0,,,,Y
#asclepias-purpurascens-purple-milkweed--true-gallon,ONXQZ2U5AVIFC2K4W2BLG3EB,Asclepias purpurascens (Purple Milkweed),,True Gallon,,Ascpur12,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,23.00,,N,,,,N,,,0,,,,Y
#asclepias-syriaca-common-milkweed--4-5-pot,MBA5NWN4VHQ7ULCC6VUZMOM7,Asclepias syriaca (Common Milkweed),,"4.5"" Pot",,Ascsyr3,"Milkweed, which native pollinators love, is critically important for monarch butterflies and will vigorously spread to fill a garden.

Size: Height: 4' - 6' ; Width: 0.5' -1'
Light: Sun (Full)
Moisture: Dry, Medium,

-",Flower,Flower,,,,,hidden,Physical good,,,,N,N,N,Y,9.00,,N,,,,,,,0,,,,Y
#asclepias-syriaca-common-milkweed--gallon,FAWDPBQ6WNQ7SGUTXNSQYYUB,Asclepias syriaca (Common Milkweed),,Gallon,,Ascsyr9,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,15.00,,N,,,,,,,0,,,,Y
#asclepias-syriaca-common-milkweed--true-gallon,XTQWRQCZZK35L5K2RVUGINNS,Asclepias syriaca (Common Milkweed),,True Gallon,,Ascsyr12,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,17.00,,N,,,,,,,0,,,,Y
#asclepias-tuberosa-butterfly-weed-milkweed--4-5-pot,3WBGPAW75DFSUXKINM6IINEO,Asclepias tuberosa (Butterfly Weed Milkweed),,"4.5"" Pot",,Asctub3,"Iconic bright, orange flowers are important for monarch butterflies and caterpillars and other pollinators. Drought tolerant. 

Size: Height: 1' - 2' ; Width: 1' -1.5'
Light: Sun (Full)
Moisture: Very Dry, Medium, 

-

miquelon, CC BY 4.0 , via Wikimedia Commons; 
Ragesoss, CC BY-SA 3.0 , via Wikimedia Commons",Flower,Flower,,,,,visible,Physical good,,,,N,N,N,Y,13.00,,N,,N,,,,,18,,,,Y
#asclepias-tuberosa-butterfly-weed-milkweed--gallon,3RRJFON3DOC6XTDUDZN6LWOM,Asclepias tuberosa (Butterfly Weed Milkweed),,Gallon,,Asctub9,,Flower,Flower,,,,,visible,Physical good,,,,,,,,19.00,,N,,,,,,,0,,,,Y
#asclepias-tuberosa-butterfly-weed-milkweed--true-gallon,YCXTMX4MCQ4RDEEQ3VHBK74V,Asclepias tuberosa (Butterfly Weed Milkweed),,True Gallon,,Asctub12,,Flower,Flower,,,,,visible,Physical good,,,,,,,,21.00,,N,,,,,,,0,,,,Y
#asclepias-verticillata-whorled-milkweed--4-5-pot,PZWPGXGN4YXQLLJPFZZOESA6,Asclepias verticillata (Whorled Milkweed),,"4.5"" Pot",,Ascver3,"Whitish, fragrant flowers bloom in small clusters between June and September. Simple, unbranched stems with long, narrow leaves. Drought and deer tolerant. Attracts butterflies and hummingbirds.

Size: Height: 1' - 2' ; Width: 1' -2'
Light: Shade (Part-Full)
Moisture: Medium,

-

Mason Brock (Masebrock) [Public domain]",Flower,Flower,,,,,visible,Physical good,,,,N,N,N,Y,13.00,,N,,,,,,,103,,,,Y
#asclepias-verticillata-whorled-milkweed--gallon,XD7YKP2ID4UOOGHB2DMKST3Z,Asclepias verticillata (Whorled Milkweed),,Gallon,,Ascver9,,Flower,Flower,,,,,visible,Physical good,,,,,,,,19.00,,N,,,,,,,33,,,,Y
#asclepias-verticillata-whorled-milkweed--true-gallon,J5YSOBGLPAUTN6QUKCFG3CB5,Asclepias verticillata (Whorled Milkweed),,True Gallon,,Ascver12,,Flower,Flower,,,,,visible,Physical good,,,,,,,,21.00,,N,,,,,,,0,,,,Y
#asimina-triloba-paw-paw--gallon,EOGD27SBN7XMH2YHANXVJLRW,Asimina triloba (Paw Paw),,Gallon,,Asitri9,"Can spread by suckers to make colonies. Purple flowers in spring give way to our native tropical fruit similar to a banana that feed wildlife and human alike! Plant two for cross-pollination.

Size: Height: 15' - 30' ; Width: 15' -30'
Light: Shade (Part-Full)
Moisture: Medium, Moist, 

-March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)

Agnieszka Kwiecie?, Nova, CC BY-SA 4.0 , via Wikimedia Commons",Tree,Tree,,,,,visible,Physical good,,,,N,N,N,Y,25.00,,N,,,,N,,,0,,,,Y
#asimina-triloba-paw-paw--true-gallon,VYVRSJNBAASY57HCQIF4X2QZ,Asimina triloba (Paw Paw),,True Gallon,,Asitri12,,Tree,Tree,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,0,,,,Y
#asimina-triloba-paw-paw--2-gallon,3BQZNLFYZTUWHPNOA7NUDKXY,Asimina triloba (Paw Paw),,2 Gallon,,Asitri15,,Tree,Tree,,,,,visible,Physical good,,,,,,,,55.00,,N,,,,N,,,11,,,,Y
#asimina-triloba-paw-paw--3-gallon,HVK4GSIL46JNWYUHLXTI2FQM,Asimina triloba (Paw Paw),,3 Gallon,,Asitri18,,Tree,Tree,,,,,visible,Physical good,,,,,,,,70.00,,N,,,,N,,,0,,,,Y
#asimina-triloba-paw-paw--5-gallon,FNA534MIFI3LDQQQKXF3EPZH,Asimina triloba (Paw Paw),,5 Gallon,,Asitri21,,Tree,Tree,,,,,visible,Physical good,,,,,,,,85.00,,N,,,,N,,,2,,,,Y
#aster-puniceus-purplestem-aster--4-5-pot,SGU67LCV2UNWO6AIZ5NE2NTG,Aster puniceus (Purplestem Aster),,"4.5"" Pot",,Astpun3,"Stiff, reddish stems branch into large flower heads. Lavender flowers bloom late in summer. Can spread to form colonies. Attracts butterflies, does well in wet, boggy soils.

Size: Height: 3' - 6' ; Width: 2' -3'
Light: Sun (Part-Full)
Moisture: Medium, Moist, 

-

Sarah Johnson, CC BY 4.0 , via Wikimedia Commons",Flower,Flower,,,,,visible,Physical good,,,,N,N,N,Y,12.00,,N,,,,,,,0,,,,Y
#aster-puniceus-purplestem-aster--gallon,3EB3LPNUI7P4ZA2S43XGKA63,Aster puniceus (Purplestem Aster),,Gallon,,Astpun9,,Flower,Flower,,,,,visible,Physical good,,,,,,,,17.00,,N,,,,,,,138,,,,Y
#aster-puniceus-purplestem-aster--true-gallon,V3LGRKPZ22R45UKS3OFZPXQZ,Aster puniceus (Purplestem Aster),,True Gallon,,Astpun12,,Flower,Flower,,,,,visible,Physical good,,,,,,,,19.00,,N,,,,,,,0,,,,Y
#athyrium-filix-femina-lady-fern--4-5-pot,SCVHZIESJWBR72DY77TH5WZD,Athyrium filix-femina (Lady Fern),,"4.5"" Pot",,Athfil3,"Tolerates drier soils than many ferns, but will only tolerate sun if the soil is kept moist. Divide clumps in spring every few years to help spread! Loves shady places!

Size: Height: 1' - 3' ; Width: 1' -3'
Light: Shade (Full)
Moisture: Medium, Moist,

-

Rüdiger [CC BY-SA (http://creativecommons.org/licenses/by-sa/3.0/)]",Fern,Fern,,,,,visible,Physical good,,,,N,N,N,Y,13.00,,N,,,,,,,53,,,,Y
#athyrium-filix-femina-lady-fern--gallon,A5LL2C7DW3KMFF4BE4BN2QHC,Athyrium filix-femina (Lady Fern),,Gallon,,Athfil9,,Fern,Fern,,,,,visible,Physical good,,,,,,,,19.00,,N,,,,,,,0,,,,Y
#baccharis-halimifolia-groundsel-bush--gallon,IHLWILT2V5TEP4FNBZBDFBAQ,Baccharis halimifolia (Groundsel Bush),,Gallon,,Bachal9,"Multi-trunked shrub in the aster family. Blooms small greenish white flowers in fall.  Frilly white seedheads appear in late fall and winter. Readily reseeds itself. Heat and drought tolerant.

Size: Height: 5' - 12' ; Width: 4' -7'
Light: Sun (Part-Full)
Moisture: Dry, Medium, 

-March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)

Jean-Jacques MILAN, CC BY-SA 3.0 , via Wikimedia Commons,  Macleay Grass Man, CC BY 2.0 , via Wikimedia Commons,   KATHERINE WAGNER-REISS, CC BY-SA 4.0 , via Wikimedia Commons",Shrub,Shrub,,,,,visible,Physical good,,,,N,N,N,Y,22.00,,N,,N,,N,,,0,,,,Y
#baccharis-halimifolia-groundsel-bush--true-gallon,EMA6VMRBWYGAFIFQTN375SIK,Baccharis halimifolia (Groundsel Bush),,True Gallon,,Bachal12,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,N,,,19,,,,Y
#baccharis-halimifolia-groundsel-bush--2-gallon,CYEQUSNK2SNANZPJHKIDYTWC,Baccharis halimifolia (Groundsel Bush),,2 Gallon,,Bachal15,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,37.00,,N,,,,N,,,25,,,,Y
#baccharis-halimifolia-groundsel-bush--3-gallon,Y7T4FQ5DTLAMF3T5JL3QA55M,Baccharis halimifolia (Groundsel Bush),,3 Gallon,,Bachal18,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,50.00,,N,,,,N,,,0,,,,Y
#baccharis-halimifolia-groundsel-bush--5-gallon,B5MTBLVUX4VJCKJJ4C3ENIDY,Baccharis halimifolia (Groundsel Bush),,5 Gallon,,Bachal21,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,60.00,,N,,,,N,,,2,,,,Y
#baptisia-australis-false-blue-indigo--4-5-pot,5B3SK6SK6CJ7V7YXCEUMTT6O,Baptisia australis (False Blue Indigo),,"4.5"" Pot",,Bapaus3,"Naturally found in forests along streambanks. Loved for its purple flowers and black seed pods. Perfect for garden or water edges!

Size: Height: 3' - 4' ; Width: 3' -4'
Light: Sun (Part-Full)
Moisture: Dry, Medium, 

-

Agnieszka Kwiecie?, Nova, CC BY-SA 4.0 , via Wikimedia Commons",Flower,Flower,,,,,visible,Physical good,,,,N,N,N,Y,13.00,,N,,,,N,,,572,,,,Y
#baptisia-australis-false-blue-indigo--gallon,3L2GOYOQ7FHKJCEXKEGVXBYJ,Baptisia australis (False Blue Indigo),,Gallon,,Bapaus9,,Flower,Flower,,,,,visible,Physical good,,,,,,,,19.00,,N,,,,N,,,292,,,,Y
#baptisia-australis-false-blue-indigo--true-gallon,EOIDXMSX4X7JNOJPSREBKT5H,Baptisia australis (False Blue Indigo),,True Gallon,,Bapaus12,,Flower,Flower,,,,,visible,Physical good,,,,,,,,21.00,,N,,,,N,,,0,,,,Y
#baptisia-tinctoria-yellow-wild-indigo--4-5-pot,Z77ELSLEVKCXCG7XFWRGGJOM,Baptisia tinctoria (Yellow Wild Indigo),,"4.5"" Pot",,Baptin3,"Upright, smooth, shrubby perennial. Blooms clusters of small yellow to cream pea-like flowers on terminal racemes from late spring to early summer.

Size: Height: 2' - 3' ; Width: 2' -3'
Light: Sun (Part-Full)
Moisture: Dry, Medium,

-",Flower,Flower,,,,,visible,Physical good,,,,N,N,N,Y,13.00,,N,,,,N,,,0,,,,Y
#baptisia-tinctoria-yellow-wild-indigo--gallon,QNWNLPT5NVZAKM43CQMY6I7P,Baptisia tinctoria (Yellow Wild Indigo),,Gallon,,Baptin9,,Flower,Flower,,,,,visible,Physical good,,,,,,,,19.00,,N,,,,N,,,57,,,,Y
#baptisia-tinctoria-yellow-wild-indigo--true-gallon,CVNQ3XOCTY5KRJC6PYC4M45Q,Baptisia tinctoria (Yellow Wild Indigo),,True Gallon,,Baptin12,,Flower,Flower,,,,,visible,Physical good,,,,,,,,21.00,,N,,,,N,,,0,,,,Y
#betula-lenta-sweet-birch--gallon,ST6Q64PTYCBUXV25SKJHNTHM,Betula lenta (Sweet Birch),,Gallon,,Betlen9,"Pyramidal to round shaped large tree.  Quick growing.  Produce green to yellow gold catkins in spring.  In fall light green foliage turns golden yellow. Attracts butterflies, mammals and song birds.

Size: Height: 60' - 70' ; Width: 35' - 45'
Light: Shade (Part-Full)
Moisture: Dry, Medium, 

-March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)

Lynk media, CC BY-SA 3.0 , via Wikimedia Commons, Adrian Thomale, CC BY-SA 3.0 , via Wikimedia Commons,  Alexander Abair, CC BY 4.0 , via Wikimedia Commons",Tree,Tree,,,,,hidden,Physical good,,,,N,N,N,Y,22.00,,N,,N,,N,,,0,,,,Y
#betula-lenta-sweet-birch--true-gallon,S3IYUBIUBEZ7H7UDH4SAC7ZR,Betula lenta (Sweet Birch),,True Gallon,,Betlen12,,Tree,Tree,,,,,hidden,Physical good,,,,,,,,25.00,,N,,,,N,,,0,,,,Y
#betula-lenta-sweet-birch--2-gallon,ST7LOA73TYN2DPINPFRZCER6,Betula lenta (Sweet Birch),,2 Gallon,,Betlen15,,Tree,Tree,,,,,hidden,Physical good,,,,,,,,50.00,,N,,,,N,,,0,,,,Y
#betula-lenta-sweet-birch--3-gallon,GI7V5MTAIYKEMWRELBRWLKJI,Betula lenta (Sweet Birch),,3 Gallon,,Betlen18,,Tree,Tree,,,,,hidden,Physical good,,,,,,,,60.00,,N,,,,N,,,0,,,,Y
#betula-lenta-sweet-birch--5-gallon,YZUIEGC6KH6N2KLO2ZIENKDB,Betula lenta (Sweet Birch),,5 Gallon,,Betlen21,,Tree,Tree,,,,,hidden,Physical good,,,,,,,,70.00,,N,,,,N,,,0,,,,Y
#betula-nigra-river-birch--gallon,RAV7BWRHIPHWJY3LAS4JQWJM,Betula nigra (River Birch),,Gallon,,Betnig9,"This fast-growing tree with reddish-brown bark does well in wet soils. It can be grown as a single or multi-trunked tree. Adapts to clay soils and poor drainage.

Size: Height: 40' - 70' ; Width: 40' -60'
Light: Sun (Part-Full)
Moisture: Medium, Moist, 

-March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)

By Bruce Marlin - Own work http://www.cirrusimage.com/tree_river_birch.htm, CC BY-SA 2.5, https://commons.wikimedia.org/w/index.php?curid=2788612,  Photo by David J. Stang, CC BY-SA 4.0 , via Wikimedia Commons
By Photo (c)2007 Derek Ramsey (Ram-Man) - Self-photographed, CC BY-SA 2.5, https://commons.wikimedia.org/w/index.php?curid=1765859",Tree,Tree,,,,,visible,Physical good,,,,N,N,N,Y,22.00,,N,,,,,,,0,,,,Y
#betula-nigra-river-birch--true-gallon,XRPMG5HX7K3TWC5VITNYG33N,Betula nigra (River Birch),,True Gallon,,Betnig12,,Tree,Tree,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,,,,0,,,,Y
#betula-nigra-river-birch--2-gallon,WETQBFVY5MECKMO5S4AQBRTR,Betula nigra (River Birch),,2 Gallon,,Betnig15,,Tree,Tree,,,,,visible,Physical good,,,,,,,,50.00,,N,,,,,,,2,,,,Y
#betula-nigra-river-birch--3-gallon,2ZKCPJO6C6QGOEPHIOJP2L3K,Betula nigra (River Birch),,3 Gallon,,Betnig18,,Tree,Tree,,,,,visible,Physical good,,,,,,,,60.00,,N,,,,,,,7,,,,Y
#betula-nigra-river-birch--5-gallon,TU6DM4FWIV5CVPBDK2OOPYSI,Betula nigra (River Birch),,5 Gallon,,Betnig21,,Tree,Tree,,,,,visible,Physical good,,,,,,,,70.00,,N,,,,,,,4,,,,Y
#betula-papyrifera-paper-birch--gallon,PORN2FCCUDRVD4BPNP5TUVYW,Betula papyrifera (Paper Birch),,Gallon,,Betpap9,"Quick growing single or multi-stemmed tree noted for its peeling white bark that reveals an orange-brown inner bark. Mature trees develop black markings on the white bark. Produce copper-green catkins in spring. Yellow leaves in fall.

Size: Height: 50' - 70' ; Width: 25' -45'
Light: Sun (Part-Full)
Moisture: Medium, 

-

daryl_mitchell from Saskatoon, Saskatchewan, Canada, CC BY-SA 2.0 , via Wikimedia Commons , English: NPS, Public domain, via Wikimedia Commons, Krzysztof Ziarnek, Kenraiz, CC BY-SA 4.0 , via Wikimedia Commons",Tree,Tree,,,,,visible,Physical good,,,,N,N,N,Y,22.00,,N,,N,,,,,4,,,,Y
#betula-papyrifera-paper-birch--true-gallon,FZ25CGH2JBMEPV2PHGXSAQ53,Betula papyrifera (Paper Birch),,True Gallon,,Betpap12,,Tree,Tree,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,,,,0,,,,Y
#betula-papyrifera-paper-birch--2-gallon,UTDUXL2RIPKE54KSOS2WSRPX,Betula papyrifera (Paper Birch),,2 Gallon,,Betpap15,,Tree,Tree,,,,,visible,Physical good,,,,,,,,50.00,,N,,,,,,,0,,,,Y
#betula-papyrifera-paper-birch--3-gallon,YI6SXZ7ADQRCNWUZFG6RKRQP,Betula papyrifera (Paper Birch),,3 Gallon,,Betpap18,,Tree,Tree,,,,,visible,Physical good,,,,,,,,60.00,,N,,,,,,,0,,,,Y
#betula-papyrifera-paper-birch--5-gallon,SDVE3C3JJQSY2X73UWYMTQGM,Betula papyrifera (Paper Birch),,5 Gallon,,Betpap21,,Tree,Tree,,,,,visible,Physical good,,,,,,,,70.00,,N,,,,,,,1,,,,Y
#betula-populifolia-grey-birch--gallon,SIFOHMA6GRK6KLZBINFKYME6,Betula populifolia (Grey Birch),,Gallon,,Betpop9,"Deciduous suckering tree that often appears in a multi-trunked form, but can also grow with a single trunk. Distinguishable by its chalky white bark.  Yellowish-brown male flowers in single catkins  and greenish female flowers in smaller upright catkins in spring.

Size: Height: 20' - 40' ; Width: 10' -20'
Light: Sun (Part-Full)
Moisture: Medium, 

-

Nicholas A. Tonelli from Northeast Pennsylvania, USA, CC BY 2.0 , via Wikimedia Commons, DouglasGoldman, CC BY-SA 4.0 , Krzysztof Ziarnek, Kenraiz, CC BY-SA 4.0 , via Wikimedia Commons, via Wikimedia Commons,  DouglasGoldman, CC BY-SA 4.0 , via Wikimedia Commons",Tree,Tree,,,,,visible,Physical good,,,,N,N,N,Y,22.00,,N,,,,,,,0,,,,Y
#betula-populifolia-grey-birch--true-gallon,46LKL2THVYQJOZTUS4FZV47T,Betula populifolia (Grey Birch),,True Gallon,,Betpop12,,Tree,Tree,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,,,,0,,,,Y
#betula-populifolia-grey-birch--2-gallon,3NC435OZ7IWOXVMU5Q2OGFZR,Betula populifolia (Grey Birch),,2 Gallon,,Betpop15,,Tree,Tree,,,,,visible,Physical good,,,,,,,,50.00,,N,,,,,,,0,,,,Y
#betula-populifolia-grey-birch--3-gallon,Y4KWD53ORDLIFYV2ZWQW3I6F,Betula populifolia (Grey Birch),,3 Gallon,,Betpop18,,Tree,Tree,,,,,visible,Physical good,,,,,,,,60.00,,N,,,,,,,7,,,,Y
#betula-populifolia-grey-birch--5-gallon,3J5L26JV4SWB462OPX4OAAVO,Betula populifolia (Grey Birch),,5 Gallon,,Betpop21,,Tree,Tree,,,,,visible,Physical good,,,,,,,,70.00,,N,,,,,,,10,,,,Y
#blephilia-ciliata-downy-wood-mint--4-5-pot,WFLATQ5YYH7PJ5I5WAYH7XFC,Blephilia ciliata (Downy Wood Mint),,"4.5"" Pot",,Blecil3,"Blue-purple flowers emerge in late spring on this pleasant smelling native. Drought tolerant and does well in a wide variety of garden settings.

Size: Height: 1' - 2' ; Width: 0.5' -1.5'
Light: Sun (Part-Full)
Moisture: Dry, Medium,

-",Flower,Flower,,,,,visible,Physical good,,,,N,N,N,Y,12.00,,N,,,,N,,,30,,,,Y
#blephilia-ciliata-downy-wood-mint--gallon,RWV7ARHT6O5J5ZB24BUMYMB4,Blephilia ciliata (Downy Wood Mint),,Gallon,,Blecil9,,Flower,Flower,,,,,visible,Physical good,,,,,,,,17.00,,N,,,,N,,,0,,,,Y
#blephilia-ciliata-downy-wood-mint--true-gallon,OMFV4ADV4FELIRMO7K5N2KK3,Blephilia ciliata (Downy Wood Mint),,True Gallon,,Blecil12,,Flower,Flower,,,,,visible,Physical good,,,,,,,,19.00,,N,,,,N,,,0,,,,Y
#blephilia-hirsuta-hairy-wood-mint--4-5-pot,IGUVIC2V4EP4HXMTIXMTY7DO,Blephilia hirsuta (Hairy Wood Mint),,"4.5"" Pot",,Blehir3,"Blue-purple flowers appear late in spring to mid-summer in tiered clusters. Fragrant Leaves.

Size: Height: 1' - 2' ; Width: 0.5' -1.5'
Light: Sun (Part-Full)
Moisture: Dry, Medium,

-",Flower,Flower,,,,,hidden,Physical good,,,,N,N,N,Y,12.00,,N,,,,,,,0,,,,Y
#blephilia-hirsuta-hairy-wood-mint--gallon,MQBXM27CDXPYAUP3LXJ6VQYQ,Blephilia hirsuta (Hairy Wood Mint),,Gallon,,Blehir9,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,17.00,,N,,,,,,,0,,,,Y
#blephilia-hirsuta-hairy-wood-mint--true-gallon,NPSP2XJIULPNKMSSI4X34HVK,Blephilia hirsuta (Hairy Wood Mint),,True Gallon,,Blehir12,,Flower,Flower,,,,,hidden,Physical good,,,,,,,,19.00,,N,,,,,,,0,,,,Y
#bouteloua-curtipendula-sideoats-grama--3-5-pot,UFDWWMVYYAPW3PIDSQR252NL,Bouteloua curtipendula (Sideoats Grama),,"3.5"" Pot",,Boucur2,"Distinctive oat-like seed spikes hang to the side of its flowering stems, with blueish-grey leaves. Grass turns gorgeous golds and oranges as it goes dormant each winter, creating lovely structure in your garden. Drought tolerant.

Size: Height: 3' - 4' ; Width: 1' -2'
Light: Sun (Full)
Moisture: Dry, Medium,

-

Tom Koerner/USFWS
Public Domain, https://commons.wikimedia.org/w/index.php?curid=444116",Grass,Grass,,,,,visible,Physical good,,,,N,N,N,Y,8.00,,N,,,,,,,247,,,,Y
#bouteloua-curtipendula-sideoats-grama--4-5-pot,724VSLC5NOUO2S4BWCVN7RM6,Bouteloua curtipendula (Sideoats Grama),,"4.5"" Pot",,Boucur3,,Grass,Grass,,,,,visible,Physical good,,,,,,,,9.00,,N,,,,,,,0,,,,Y
#bouteloua-curtipendula-sideoats-grama--gallon,7DWOCXHA6SUQZAXKSYJZH33B,Bouteloua curtipendula (Sideoats Grama),,Gallon,,Boucur9,,Grass,Grass,,,,,visible,Physical good,,,,,,,,13.00,,N,,,,,,,0,,,,Y
#bromus-latiglumis-ear-leaved-brome--3-5-pot,MTMVUZRKJZJ52BN2OYUMUJPR,Bromus latiglumis (Ear-leaved Brome),,"3.5"" Pot",,Brolat2,"Vibrant green cool season grass.  Clump forming- terrific habitat for birds and mammals.

Size: Height: 3' - 4' ; Width: 1' - 2'
Light: Shade (Part-Full)
Moisture: Dry, Medium,

-

Reuven Martin, CC0, via Wikimedia Commons",Grass,Grass,,,,,hidden,Physical good,,,,N,N,N,Y,8.00,,N,,N,,N,,,0,,,,Y
#bromus-latiglumis-ear-leaved-brome--4-5-pot,3JLNPBC5HLCFYKNUN24SXQZD,Bromus latiglumis (Ear-leaved Brome),,"4.5"" Pot",,Brolat3,,Grass,Grass,,,,,hidden,Physical good,,,,,,,,9.00,,N,,,,N,,,0,,,,Y
#bromus-latiglumis-ear-leaved-brome--gallon,X7QPDCNLFLV6ZPDAU75CYKDN,Bromus latiglumis (Ear-leaved Brome),,Gallon,,Brolat9,,Grass,Grass,,,,,hidden,Physical good,,,,,,,,13.00,,N,,,,N,,,0,,,,Y
#calamagrostis-canadensis-bluejoint-reedgrass--3-5-pot,G2PFXMPUUZRJQ752IPAP6ZKW,Calamagrostis canadensis (Bluejoint Reedgrass),,"3.5"" Pot",,Calcan2,"Thriving in wet areas, this bunchgrass is also drought tolerant. Grows rapidly to fill a desired space.

Size: Height: 2' - 5' ; Width: 2' -3'
Light: Shade (Part-Full)
Moisture: Moist, 

-

Superior National Forest, CC BY 2.0 , via Wikimedia Commons",Grass,Grass,,,,,hidden,Physical good,,,,N,N,N,Y,8.00,,N,,,,,,,0,,,,Y
#calamagrostis-canadensis-bluejoint-reedgrass--4-5-pot,2F3ZDG32ZTDNWQTPPKQYLF2R,Calamagrostis canadensis (Bluejoint Reedgrass),,"4.5"" Pot",,Calcan3,,Grass,Grass,,,,,hidden,Physical good,,,,,,,,9.00,,N,,,,,,,0,,,,Y
#calamagrostis-canadensis-bluejoint-reedgrass--gallon,SQF6RNCK3J63ZC6HI3BBMRSS,Calamagrostis canadensis (Bluejoint Reedgrass),,Gallon,,Calcan9,,Grass,Grass,,,,,hidden,Physical good,,,,,,,,13.00,,N,,,,,,,0,,,,Y
#callicarpa-americana-beautyberry--gallon,Q7VSDBSSHGOUHE53YJBGB2YC,Callicarpa americana (Beautyberry),,Gallon,,Calame9,"Needs minimal care when established. Bright violet berries attract birds and give this shrub its name.

Size: Height: 3' - 6' ; Width: 3' -6'
Light: Shade (Part-Full)
Moisture: Medium, Moist, 

-March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)

Forest and Kim Starr, CC BY 2.0 , via Wikimedia Commons",Shrub,Shrub,,,,,visible,Physical good,,,,N,N,N,Y,22.00,,N,,N,,N,,,0,,,,Y
#callicarpa-americana-beautyberry--true-gallon,M2PGVBCCCLV6W2ADWL6FHAW4,Callicarpa americana (Beautyberry),,True Gallon,,Calame12,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,N,,,0,,,,Y
#callicarpa-americana-beautyberry--2-gallon,VLEMOLHGF3G242P52KBQCPNG,Callicarpa americana (Beautyberry),,2 Gallon,,Calame15,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,37.00,,N,,,,N,,,0,,,,Y
#callicarpa-americana-beautyberry--3-gallon,D7HR6NY46YOIUZAYRV5W7WVC,Callicarpa americana (Beautyberry),,3 Gallon,,Calame18,,Shrub,Shrub,,,,,visible,Physical good,,,,,,,,50.00,,N,,,,N,,,6,,,,Y
