Square.Category,Category,Scientific Name,Common Name,Item.Type,Species ID,Item.Name,Light,Moisture,SoilType,Height_low,Height_high,Width_low,Width_high,Size_Concat,Bloom_time,Bloom_color,Sex,Deer_Resistant,Drainfield_OK,NativeRange,Local_Ecotype,GermCode,DescriptionBase,Photo Credits,Shade Program
Tree,Tree,Liriodendron tulipifera,Tulip Tree,Physical good,Lirtul,Liriodendron tulipifera (Tulip Tree),Sun (Full),"Medium, ",,80,120,30,60,Height: 80' - 120' ; Width: 30' -60',"Spring, Summer",Yellow,,,,,,,One of the largest trees in North America.  Mature trunks reach 4 to 6 feet in diameter and are column-like with an absence of lower branches.   Yellow-green and orange tulip-like flowers bloom in Spring. Yellow-gold leaves in fall.,"Alex Lomas, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons, High Contrast, CC BY 3.0 DE <https://creativecommons.org/licenses/by/3.0/de/deed.en>, via Wikimedia Commons, Shenandoah  National Park from Virginia, Public domain, via Wikimedia Commons, Katja Schulz from Washington, D. C., USA, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Magnolia acuminata,Cucumber Magnolia,Physical good,Magacu,Magnolia acuminata (Cucumber Magnolia),Sun (Part-Full),"Medium, Moist, ",Loam,50,80,35,60,Height: 50' - 80' ; Width: 35' -60',Spring,Yellow,,,,,,,"Deciduous tree found in the foothills and Appalachian Mountains.  Tall tree with pyramidal crown and a straight trunk. Bloom greenish-yellow, tulip-like flowers in spring and produce red cone-like fruits in late summer","Bruce Marlin, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons,   ????? ???????, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons,   Baummapper, CC BY-SA 3.0 DE <https://creativecommons.org/licenses/by-sa/3.0/de/deed.en>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Magnolia virginiana,Sweetbay Magnolia,Physical good,Magvir,Magnolia virginiana (Sweetbay Magnolia),Shade (Part-Full),"Medium, Moist, ",Clay,10,35,10,35,Height: 10' - 35' ; Width: 10' -35',"Spring, Summer",White,,,,,,,"Cup shaped, white flowers appear in spring on this magnificent tree. Bright red seeds mature in fall. Tolerates clays.","Sweetbay_Magnolia_Magnolia_virginiana_Flower_Closeup_2242px.jpg: Photo by and (c)2008 Derek Ramsey (Ram-Man).  Co-attribution must be given to the Chanticleer Garden.derivative work: Bff, CC BY-SA 3.0 <http://creativecommons.org/licenses/by-sa/3.0/>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Morus rubra,Red Mulberry,Physical good,Morrub,Morus rubra (Red Mulberry),Sun (Part-Full),"Dry, Moist, ",,35,50,35,40,Height: 35' - 50' ; Width: 35' -40',Spring,Yellow,,,,,,,"Lobed leaves, milky sap, and reddish-brown bark with edible fruits. Greenish flowers appear in early spring. Fertilized female flowers bear edible reddish fruits.","By LeonAdler - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=8142081","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Nyssa sylvatica,Black Gum,Physical good,Nyssyl,Nyssa sylvatica (Black Gum),Sun (Part-Full),"Medium, ",Clay,30,50,20,30,Height: 30' - 50' ; Width: 20' -30',"Spring, Summer",Green,,,,,,,Deciduous tree with a straight trunk and rounded crown. Flowers on the female tree give way to half-inch sour fruits. Tolerates both standing water and poorly drained soils and clay. Can also tolerate drought.,"By Gerd Eichmann - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=91297476
Tom Potterfield: https://www.flickr.com/photos/tgpotterfield/6943079610","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Ostrya virginiana,Hop Hornbeam,Physical good,Ostvir,Ostrya virginiana (Hop Hornbeam),Sun (Part-Full),"Medium, ",Clay,25,40,20,30,Height: 25' - 40' ; Width: 20' -30',Spring,Yellow,,,,,,,"This tree does well in shade and rocky soils. Male and female catkins grow on the same tree, with the female parts turning into small, hop-like fruits in the fall. Also called ironwood. Tolerates Deer and clay.","By Eric Hunt - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=21999486
By Plant Image Library from Boston, USA - Ostrya virginiana var. virginiana (Eastern Hop Hornbeam) 1226*A, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=84938668
By User:BotBln - Own work: User:BotBln, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=16889220
Katja Schulz https://www.flickr.com/photos/treegrow/5594457306","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Oxydendrum arboreum,Sourwood,Physical good,Oxyarb,Oxydendrum arboreum (Sourwood),Sun (Part-Full),"Medium, Moist, ",,20,30,10,15,Height: 20' - 30' ; Width: 10' -15',Summer,White,,,,,,,"Deciduous, small to medium tree in the blueberry family (Ericaceae).   Prefers peaty, moist, well-drained soils.  Tolerant of shade and dry soils and moderately tolerant of salt. Fragrant, white, urn-shaped flowers bloom on panicles in summer. Fall foliage is red to reddish-purple. ","Agnieszka Kwiecie?, Nova, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons,  wlcutler, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons,   DouglasGoldman, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons                                       Photo by David J. Stang, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Pinus palustris,Longleaf Pine,Physical good,Pinpal,Pinus palustris (Longleaf Pine),Sun (Part-Full),"Medium, ",Clay,60,80,30,40,Height: 60' - 80' ; Width: 30' -40',,,,,,,,,"Scaly orange-brown bark with long, 18"" needles and 10"" long cones. The tree stays small for the first 5 years of life while it establishes roots, then grows quickly.",,"March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Pinus strobus,Eastern White Pine,Physical good,Pinstr,Pinus strobus (Eastern White Pine),Sun (Full),"Medium, ",,50,80,20,40,Height: 50' - 80' ; Width: 20' -40',,,,,,,,,This pine is an attractive oramental landscape tree with bluish-green needles and cylindrical brown cones. Attractive to wildlife. Deer resistant.,"By Photo by David J. Stang - source: David Stang. First published at ZipcodeZoo.com, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=60856483, 
By sciondriver at Flickr - Flickr, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=6320557
By Ryan Hodnett - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=97385362                Ryan Hodnett, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Pinus taeda,Loblolly Pine,Physical good,Pintae,Pinus taeda (Loblolly Pine),Sun (Full),"Medium, ",,60,90,20,40,Height: 60' - 90' ; Width: 20' -40',,,,,,,,,"Needled evergreen. Somewhat pyramidal shaped at youth, develops a dense oval crown at maturity as it loses its lower branches. Bark made up of thick flaky plates that are chocolate colored underneath. Produce, red-yellow male cones and yellow -purple female cones in spring.","Dcrjsr, CC BY 3.0 , via Wikimedia Commons
Dcrjsr, CC BY 3.0 , via Wikimedia Commons
Photo by David J. Stang, CC BY-SA 4.0 , via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Pinus virginiana,Virginia Pine,Physical good,Pinvir,Pinus virginiana (Virginia Pine),Sun (Full),"Medium, ",,15,30,10,20,Height: 15' - 30' ; Width: 10' -20',,,,,,,,,This needled evergreen is known for it's golden winter foliage. Seeds are a good food source for birds.,"By TheSussman (Mike) from Georgia, USA - Panola Mountain State Park, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=8983653
By Photo by David J. Stang - source: David Stang. First published at ZipcodeZoo.com, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=60781339
By Joshua Davis (jdavis.info) on Flickr - Flickr, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=6345603                   Famartin, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Platanus occidentalis,Sycamore,Physical good,Plaocc,Platanus occidentalis (Sycamore),Sun (Full),"Medium, Moist, ",,75,100,75,100,Height: 75' - 100' ; Width: 75' -100',Spring,Green,,,,,,,"Massive, eastern tree does well in wet soils near streams and floodplains. Dry, mottled white bark is striking and beautiful.","Bruce Marlin [CC BY-SA (https://creativecommons.org/licenses/by-sa/2.5)]
Jeff Turner from Santa Clarita, CA, United States [CC BY (https://creativecommons.org/licenses/by/2.0)]                                        Jeff Hart from Bloomington, IN, USA, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Prunus americana,American Plum,Physical good,Pruame,Prunus americana (American Plum),Sun (Part-Full),"Medium, ",,10,20,15,25,Height: 10' - 20' ; Width: 15' -25',"Spring, Summer",White,,,,,,"C(120)orL,M",Small deciduous tree or sometimes multi-stemmed shrub. Blooms small white flowers in early spring before foliage. Produces edible plums in late summer. Grows in rocky sandy soils.,"??????? ??????, CC0, via Wikimedia Commons, Sarah Johnson (iNaturalist), CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons
Homer Edward Price, CC BY 2.0 , via Wikimedia Commons
Matt Lavin from Bozeman, Montana, USA, CC BY-SA 2.0 , via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Prunus serotina,Black Cherry,Physical good,Pruser,Prunus serotina (Black Cherry),Sun (Full),"Medium, ",,60,80,30,60,Height: 60' - 80' ; Width: 30' -60',Spring,White,,,,,,,Fragrant white flowers in spring give way to small red cherries that ripen in late summer. Fruits inedible off tree but can be used to make jams and jellies. Attracts birds.,"By Aiwok - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=12033384
By Krzysztof Ziarnek, Kenraiz - Own work, CC
BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=20895961By Rasbak - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=303726                   ","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Prunus virginiana,Chokecherry,Physical good,Pruvir,Prunus virginiana (Chokecherry),Sun (Full),"Medium, Moist, ",,20,30,18,25,Height: 20' - 30' ; Width: 18' -25',Spring,White,,,,,,,Large native deciduous shrub or a small tree that can form thickets.  Blooms white flowers in spring and bitter red fruits that ripen to black from August to September. Can be made into edible preserves.  Attracts small animals and birds that eat the fruits/seeds.  Flowers attract pollinators.,"Maxime Laterreur, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons,  Matt Lavin from Bozeman, Montana, USA, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons                                                                                                 Thayne Tuason, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Quercus alba,White Oak,Physical good,Quealb,Quercus alba (White Oak),Sun (Full),"Medium, ",Clay,50,80,50,80,Height: 50' - 80' ; Width: 50' -80',Spring,Green,,,,,can find,,"Oval acorns feed wildlife and this large tree provides habitat for birds and shade for humans. Massive, reddish crown adds beauty in the season. Drought and poor soil tolerant.","By Msact at English Wikipedia, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=27178443                                                           Chris Light, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons                                              ","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Quercus bicolor,Swamp White Oak,Physical good,Queswa,Quercus bicolor (Swamp White Oak),Sun (Full),"Medium, Moist, ","Clay, Loam, Sandy",50,60,50,60,Height: 50' - 60' ; Width: 50' -60',Spring,Green,,,,,,,"Large long living tree with a short trunk and spreading oval crown. Leaves are a glossy dark green on top and a silvery white underneath. Blooms golden green catkins in spring.  Leaves turn gorgeous fall colors of gold, red and yellow.  ","Krzysztof Ziarnek, Kenraiz, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons,  Chris Light, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons,   LocalNatureLab, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons                                                                        Willow, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Quercus palustris,Pin Oak,Physical good,Quepal,Quercus palustris (Pin Oak),Sun (Full),"Medium, Moist, ",,50,70,40,60,Height: 50' - 70' ; Width: 40' -60',Spring,Green,,,,,,,"Broad, pyramidal crown with lower branches that often die off, leaving pin-like stubs. Acorns feed wildlife and leaves turn deep red in the fall.","By josh jackson - IMG_2887.JPGUploaded by pixeltoo, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=7522359","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Quercus phellos,Willow Oak,Physical good,Quephe,Quercus phellos (Willow Oak),Sun (Part-Full),"Medium, ",Clay,40,75,25,50,Height: 40' - 75' ; Width: 25' -50',Spring,Green,,,,,,,Rounded crown. Leaves turn a coppery orange in the fall. Acorns feed wildlife once the tree matures. Adapted to grow in clay soils. Common landscape tree used for shade.,"Daderot, CC0, via Wikimedia Commons
Michael Wolf, CC BY-SA 3.0 , via Wikimedia Commons
Berean Hunter, CC BY-SA 2.5 , via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Quercus rubra,Northern Red Oak,Physical good,Querub,Quercus rubra (Northern Red Oak),Sun (Full),"Dry, Medium, ",,50,75,50,70,Height: 50' - 75' ; Width: 50' -70',Spring,Green,,,,,can find,L,Dark green leaves turn brownish-red in fall. Acorns will feed wildlife once tree is mature enough. Drought tolerant.,"By Famartin - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=59086504, Bruce Kirchoff from Greensboro, NC, USA, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Quercus velutina,Black Oak,Physical good,Quevel,Quercus velutina (Black Oak),Sun (Full),"Dry, Medium, ",,50,60,50,60,Height: 50' - 60' ; Width: 50' -60',Spring,Green,,,,,,,A medium-sized tree for large yards. Bark is nearly all black on mature trees with deep furrows. Oval acorns feed wildlife.,,"March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Salix nigra,Black Willow,Physical good,Salnig,Salix nigra (Black Willow),Sun (Part-Full),"Moist, Standing Water,",,36,72,30,60,Height: 36' - 72' ; Width: 30' -60',Spring,Yellow,,,,,can find,,"Deciduous fast growing tree prefers moist soils and full sun. Dark brown to black bark, develops deep groves and rough texture with shaggy scales as it ages. Avoid full shade and do not alloy soil to dry out.",,"March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Sassafras albidum,Sassafras,Physical good,Sasalb,Sassafras albidum (Sassafras),Shade (Part-Full),"Medium, ",Clay,30,60,24,40,Height: 30' - 60' ; Width: 24' -40',Spring,Yellow,,,,,,,"Root suckers can make this form multiple trunks and colonies. The leaves turn yellow, purple, and red in the fall. Deer, drought, and clay tolerant.","By Pymouss - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=7804970
By Michal Klajban - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=94850747
Helen Lowe: https://www.flickr.com/photos/usgsbiml/25422845638            Alex Abair, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Tree,Tree,Taxodium distichum,Bald Cypress,Physical good,Taxdis,Taxodium distichum (Bald Cypress),Sun (Full),"Standing Water,",Clay,50,70,20,45,Height: 50' - 70' ; Width: 20' -45',,,,,,,,,"Long lived conifer native to swamps, but also grows well in upland soils. Buttressed bases with knobby ""knees"" that arise out of standing water. Clay and wet soil tolerant.","By Thomas & Dianne Jones from Okmulgee, OK, USA - Mt Fork Morning Calm, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=11109140","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Books,Books,Blank,Book,Physical good,Book,Book,,,,,,,,,,,,,,,,,"The Plant Ridge & Valley Natives campaign includes the following 11 counties (from north to south): Frederick, Clarke, Warren, Shenandoah, Page, Rockingham, Augusta, Highland, Bath, Rockbridge, and Alleghany. We also include the cities of Winchester, Harrisonburg, Staunton, Waynesboro, Lexington, Buena Vista, and Covington.

In May 2023, we published the first edition of Plant Ridge & Valley Natives: A Gardener�s Guide to Virginia�s Ridge & Valley Native Plants. This full-color, spiral-bound book contains 144 pages of beautiful native plants suitable to using in a home garden or commercial landscape to provide not only beauty, but also high ecological value for our local ecosystems. The Guide includes six garden designs created specifically for us by ecologist Iara Lacher and garden designer Anne Elise Lintelman. 

A second and expanded edition has recently been published. Enlarged to 172 pages, the revised Guide includes an index and glossary, as well as plant lists for gardening challenges such as deer, black walnut, and drought. We have added to the species lists of wildflowers, shrubs, trees, and vines. ",,
Fern,Fern,Adiantum pedatum,Maidenhair Fern,Physical good,Adiped,Adiantum pedatum (Maidenhair Fern),Shade (Part-Full),"Medium, Moist, ",Rich loam,0.5,2,2,2,Height: 0.5' - 2' ; Width: 2' -2',,,,,,,,,"Deciduous perennial fern with bright green fronds and black stems spreads in a circular pattern. Will do well in shady woodlands, beds, and rain gardens.","By Stan Shebs, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=602708,  USFWS - Pacific Region, Public domain, via Wikimedia Commons
By Walter Siegmund - Own work, CC BY 2.5, https://commons.wikimedia.org/w/index.php?curid=2127736
By Cephas - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=19729634",
Fern,Fern,Athyrium filix-femina,Lady Fern,Physical good,Athfil,Athyrium filix-femina (Lady Fern),Shade (Full),"Medium, Moist, ",Rich loam,1,3,1,3,Height: 1' - 3' ; Width: 1' -3',,,,,,,,,"Tolerates drier soils than many ferns, but will only tolerate sun if the soil is kept moist. Divide clumps in spring every few years to help spread! Loves shady places!",Rüdiger [CC BY-SA (http://creativecommons.org/licenses/by-sa/3.0/)],
Fern,Fern,Dennstaedtia punctilobula,Hay Scented Fern,Physical good,Denpun,Dennstaedtia punctilobula (Hay Scented Fern),Shade (Part-Full),"Medium, Moist, ",Rich loam,1,2,2,3,Height: 1' - 2' ; Width: 2' -3',,,,,,,,,"Crushed leaves release a hay-like scent, giving this fern its name. Fronds turn yellow in the fall. Tolerates dry or poor soils well once established.",Photo by David J. Stang [CC BY-SA (https://creativecommons.org/licenses/by-sa/4.0)],
Fern,Fern,Dryopteris felix-mas,Male Fern,Physical good,Dryfel,Dryopteris felix-mas (Male Fern),Shade (Part-Full),"Medium, Moist, ",Rich loam,1,3,2,3,Height: 1' - 3' ; Width: 2' -3',,,,,,,,,"Large arching deciduous male fern. Erect stout rhizomes and medium green blades. Pinnate-pinnatifid with 20-30 pair of long-pointed pinnae per blade. Leaflet divided into short, rounded, sub-leaflets.","Agnieszka Kwiecień, Nova, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",
Fern,Fern,Dryopteris marginalis,Marginal Woodfern,Physical good,Drymar,Dryopteris marginalis (Marginal Woodfern),Shade (Part-Full),"Medium, Moist, ","Clay, Loam",1,3,2,3,Height: 1' - 3' ; Width: 2' -3',,,,,,,,,"Evergreen, perennial fern. ""Marginal"" references the location of the sori on the underside of the pinnae. Grows in a broad, erect crown that is densely covered with light brown scales. Produces a large, single crown and does not spread.","Krzysztof Ziarnek, Kenraiz, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons, Kelvinsong, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia, Photo by David J. Stang, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons Commons, Laval University, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",
Fern,Fern,Matteuccia struthiopteris,Ostrich Fern,Physical good,Matstr,Matteuccia struthiopteris (Ostrich Fern),Shade (Part-Full),"Medium, Moist, ",Rich loam,1,5,4,4,Height: 1' - 5' ; Width: 4' -4',,,,,,,,,Tall bright green plumes turn bronze-gold in fall. In optimal moist conditions will spread to form dense colonies. Deer and rabbit resistant.,"By de:Benutzer:Griensteidl - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=845398 By The Cosmonaut - Own work This image was created with darktable., CC BY-SA 2.5 ca, Bjoertvedt, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commonshttps://commons.wikimedia.org/w/index.php?curid=89978871
By Photo by David J. Stang - source: David Stang. First published at ZipcodeZoo.com, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=60966557",
Fern,Fern,Onoclea sensibilis,Sensitive Fern,Physical good,Onosen,Onoclea sensibilis (Sensitive Fern),Shade (Full),"Medium, Moist, ",Rich loam,1,2,1,1,Height: 1' - 2' ; Width: 1' -1',,,,,,,,,Light green fronds with deep cut lobes are sensitive to first frost in fall. Decorative beaded stalks remain upright in winter. Pale red fiddleheads appear in spring. Rabbit and deer resistant.,"By peganum - https://www.flickr.com/photos/peganum/7163941421/, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=27186100
By Krzysztof Ziarnek, Kenraiz - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=78586960
By Krzysztof Ziarnek, Kenraiz - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=78586959",
Fern,Fern,Osmunda cinnamomea,Cinnamon Fern,Physical good,Osmcin,Osmunda cinnamomea (Cinnamon Fern),Shade (Part-Full),"Medium, Moist, ",Rich loam,2,3,2,3,Height: 2' - 3' ; Width: 2' -3',,,,,,,,,"Cinnamon colored fibers near the frond bases give this fern its name. With constant moisture, this shade-loving plant can reach larger sizes.","Photo by David J. Stang [CC BY-SA (https://creativecommons.org/licenses/by-sa/4.0)], Keisotyo, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",
Fern,Fern,Osmunda claytoniana,Interrupted Fern,Physical good,Osmcla,Osmunda claytoniana (Interrupted Fern),Shade (Full),"Medium, Moist, ",Rich loam,0.5,3,3,3,Height: 0.5' - 3' ; Width: 3' -3',,,,,,,,,Large vase shaped blueish green fern turns golden yellow in the fall. Silvery-white fiddleheads emerge in spring.,"James St. John, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons",
Fern,Fern,Osmunda spectabilis,Royal Fern,Physical good,Osmspe,Osmunda spectabilis (Royal Fern),Shade (Full),"Medium, Moist, ",,2,5,2,3,Height: 2' - 5' ; Width: 2' -3',,,,,,,,,Tall fern that typically occurs in clumps. Broad fronds with well seperated pinnae. Turns yellow in fall. Naturally occurs on moist bluffs and on ledges along streams.,"Mason Brock (Masebrock), Public domain, via Wikimedia Commons;,  Photo by David J. Stang, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons
R. A. Nonenmacher, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",
